treatment_label,mediator_label,outcome_label,prev_diff,mediator_group,outcome_group
Pooled Intervention,Bruising (Past 7 Days),"Any Antibiotics
(Past Month)","-0.001 (-0.004, 0.001)",NA,Past 1 Month
Pooled Intervention,Bruising (Past 7 Days),"Any Antibiotics
(Past 3 Months)","-0.002 (-0.007, 0.001)",NA,Past 3 Months
Pooled Intervention,Bruising (Past 7 Days),"Days of Antibiotic Use
(Past 3 Months)","-0.006 (-0.033, 0.016)",NA,Past 3 Months
Pooled Intervention,Bruising (Past 7 Days),"Episodes of Antibiotic Use
(Past 3 Months)","-0.001 (-0.006, 0.003)",NA,Past 3 Months
Pooled Intervention,Bruising (Past 7 Days),"Multiple Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.001, 0.002)",NA,Past 3 Months
"Pooled Nutrition
and N+WASH",Bruising (Past 7 Days),"Any Antibiotics
(Past Month)"," 0.000 (-0.002, 0.002)",NA,Past 1 Month
"Pooled Nutrition
and N+WASH",Bruising (Past 7 Days),"Any Antibiotics
(Past 3 Months)","-0.001 (-0.005, 0.002)",NA,Past 3 Months
"Pooled Nutrition
and N+WASH",Bruising (Past 7 Days),"Days of Antibiotic Use
(Past 3 Months)","-0.006 (-0.058, 0.028)",NA,Past 3 Months
"Pooled Nutrition
and N+WASH",Bruising (Past 7 Days),"Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.005, 0.004)",NA,Past 3 Months
"Pooled Nutrition
and N+WASH",Bruising (Past 7 Days),"Multiple Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.002, 0.002)",NA,Past 3 Months
"Pooled WASH
and N+WASH",Bruising (Past 7 Days),"Any Antibiotics
(Past Month)","-0.001 (-0.006, 0.002)",NA,Past 1 Month
"Pooled WASH
and N+WASH",Bruising (Past 7 Days),"Any Antibiotics
(Past 3 Months)","-0.002 (-0.007, 0.001)",NA,Past 3 Months
"Pooled WASH
and N+WASH",Bruising (Past 7 Days),"Days of Antibiotic Use
(Past 3 Months)","-0.016 (-0.063, 0.016)",NA,Past 3 Months
"Pooled WASH
and N+WASH",Bruising (Past 7 Days),"Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.005, 0.006)",NA,Past 3 Months
"Pooled WASH
and N+WASH",Bruising (Past 7 Days),"Multiple Episodes of Antibiotic Use
(Past 3 Months)"," 0.001 (-0.001, 0.004)",NA,Past 3 Months
Nutrition,Bruising (Past 7 Days),"Any Antibiotics
(Past Month)"," 0.000 (-0.003, 0.004)",NA,Past 1 Month
Nutrition,Bruising (Past 7 Days),"Any Antibiotics
(Past 3 Months)","-0.001 (-0.007, 0.003)",NA,Past 3 Months
Nutrition,Bruising (Past 7 Days),"Days of Antibiotic Use
(Past 3 Months)","-0.009 (-0.084, 0.056)",NA,Past 3 Months
Nutrition,Bruising (Past 7 Days),"Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.009, 0.009)",NA,Past 3 Months
Nutrition,Bruising (Past 7 Days),"Multiple Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.003, 0.003)",NA,Past 3 Months
WASH,Bruising (Past 7 Days),"Any Antibiotics
(Past Month)","-0.004 (-0.011, 0.001)",NA,Past 1 Month
WASH,Bruising (Past 7 Days),"Any Antibiotics
(Past 3 Months)","-0.003 (-0.010, 0.001)",NA,Past 3 Months
WASH,Bruising (Past 7 Days),"Days of Antibiotic Use
(Past 3 Months)","-0.027 (-0.096, 0.016)",NA,Past 3 Months
WASH,Bruising (Past 7 Days),"Episodes of Antibiotic Use
(Past 3 Months)","-0.001 (-0.011, 0.006)",NA,Past 3 Months
WASH,Bruising (Past 7 Days),"Multiple Episodes of Antibiotic Use
(Past 3 Months)"," 0.001 (-0.001, 0.005)",NA,Past 3 Months
N+WASH,Bruising (Past 7 Days),"Any Antibiotics
(Past Month)"," 0.000 (-0.003, 0.003)",NA,Past 1 Month
N+WASH,Bruising (Past 7 Days),"Any Antibiotics
(Past 3 Months)","-0.001 (-0.006, 0.002)",NA,Past 3 Months
N+WASH,Bruising (Past 7 Days),"Days of Antibiotic Use
(Past 3 Months)","-0.014 (-0.083, 0.034)",NA,Past 3 Months
N+WASH,Bruising (Past 7 Days),"Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.006, 0.006)",NA,Past 3 Months
N+WASH,Bruising (Past 7 Days),"Multiple Episodes of Antibiotic Use
(Past 3 Months)"," 0.000 (-0.003, 0.003)",NA,Past 3 Months
